"ASCED Field of Education",,"ABSCQ Field of Study",
"01","NATURAL AND PHYSICAL SCIENCES",,
"010101","Mathematics","531","Mathematics"
"010103","Statistics","532","Statistics"
"010199","Mathematical Sciences, n.e.c.","531","Mathematics"
"010301","Physics","521","Physics"
"010303","Astronomy","521","Physics"
"010501","Organic Chemistry","522","Chemistry"
"010503","Inorganic Chemistry","522","Chemistry"
"010599","Chemical Sciences, n.e.c.","522","Chemistry"
"010701","Atmospheric Sciences","523","Earth Science"
"010703","Geology","523","Earth Science"
"010705","Geophysics","523","Earth Science"
"010707","Geochemistry","523","Earth Science"
"010709","Soil Science","523","Earth Science"
"010711","Hydrology","523","Earth Science"
"010713","Oceanography","523","Earth Science"
"010799","Earth Sciences, n.e.c.","491","Geography"
,,"523","Earth Science"
"010901","Biochemistry and Cell Biology","511","Biological Science"
"010903","Botany","511","Biological Science"
"010905","Ecology and Evolution","512","Environmental Science"
"010907","Marine Science","511","Biological Science"
"010909","Genetics","511","Biological Science"
"010911","Microbiology","511","Biological Science"
"010913","Human Biology","511","Biological Science"
"010915","Zoology","511","Biological Science"
"010999","Biological Sciences, n.e.c.","511","Biological Science"
"019901","Medical Science","219","Medicine, n.e.c."
,,"511","Biological Science"
"019903","Forensic Science","529","Physical Science, n.e.c."
"019905","Food Science and Biotechnology","511","Biological Science"
,,"591","Food Science"
"019907","Pharmacology","231","Pharmacy"
,,"522","Chemistry"
"019909","Laboratory Technology","592","Laboratory Technology"
"019999","Natural and Physical Sciences, n.e.c.","599","Other Natural and Physical Sciences, n.e.c."
"02","INFORMATION TECHNOLOGY",,
"020101","Formal Language Theory","541","Computer Science"
"020103","Programming","541","Computer Science"
"020105","Computational Theory","541","Computer Science"
"020107","Compiler Construction","541","Computer Science"
"020109","Algorithms","541","Computer Science"
"020111","Data Structures","541","Computer Science"
"020113","Networks and Communications","541","Computer Science"
"020115","Computer Graphics","541","Computer Science"
"020117","Operating Systems","541","Computer Science"
"020119","Artificial Intelligence","541","Computer Science"
"020199","Computer Science, n.e.c.","541","Computer Science"
"020301","Conceptual Modelling","541","Computer Science"
"020303","Database Management","541","Computer Science"
"020305","Systems Analysis and Design","541","Computer Science"
"020307","Decision Support Systems","541","Computer Science"
"020399","Information Systems, n.e.c.","541","Computer Science"
"029901","Security Science","541","Computer Science"
"029999","Information Technology, n.e.c.","541","Computer Science"
"03","ENGINEERING AND RELATED TECHNOLOGIES",,
"030101","Manufacturing Engineering","693","Industrial Engineering Science"
"030103","Printing","661","Compositing"
,,"662","Graphic Reproduction"
,,"663","Printing Machining"
,,"664","Binding and Finishing"
,,"665","Screen Printing"
,,"669","Printing, n.e.c."
"030105","Textile Making","681","Textile Engineering Science"
,,"689","Textiles, Clothing and Footwear, n.e.c."
"030107","Garment Making","682","Garment Making"
"030109","Footwear Making","684","Footwear"
"030111","Wood Machining and Turning","697","Wood Machining and Turning"
"030113","Cabinet Making","698","Cabinet Making"
"030115","Furniture Upholstery and Renovation","683","Upholstery"
"030117","Furniture Polishing","699","Other Engineering, n.e.c."
"030199","Manufacturing Engineering and Technology, n.e.c.","689","Textiles, Clothing and Footwear, n.e.c."
,,"699","Other Engineering, n.e.c."
"030301","Chemical Engineering","691","Chemical Engineering Science"
"030303","Mining Engineering","652","Mining Engineering Science"
,,"659","Metallurgical and Mining Engineering, n.e.c."
,,"695","Other Engineering Science"
"030305","Materials Engineering","649","Mechanical Engineering, n.e.c."
,,"651","Metallurgical Engineering Science"
,,"659","Metallurgical and Mining Engineering, n.e.c."
,,"699","Other Engineering, n.e.c."
"030307","Food Processing Technology","591","Food Science"
,,"921","Meat Processing"
"030399","Process and Resources Engineering, n.e.c.","659","Metallurgical and Mining Engineering, n.e.c."
,,"699","Other Engineering, n.e.c."
"030501","Automotive Engineering","671","Automotive Engineering Science"
"030503","Vehicle Mechanics","672","Vehicle Mechanics"
"030505","Automotive Electrics and Electronics","634","Automotive Electrics"
"030507","Automotive Vehicle Refinishing","674","Vehicle Painting"
"030509","Automotive Body Construction","675","Vehicle Building"
"030511","Panel Beating","673","Panel Beating"
"030513","Upholstery and Vehicle Trimming","676","Vehicle Trimming"
"030515","Automotive Vehicle Operations","939","Transport, n.e.c."
,,"991","Plant and Machine Operation"
"030599","Automotive Engineering and Technology, n.e.c.","679","Automotive Engineering, n.e.c."
"030701","Mechanical Engineering","641","Mechanical Engineering Science"
"030703","Industrial Engineering","693","Industrial Engineering Science"
"030705","Toolmaking","642","Toolmaking"
"030707","Metal Fitting, Turning and Machining","643","Metal Fitting, Turning and Machining"
"030709","Sheetmetal Working","644","Sheetmetal Working"
"030711","Boilermaking and Welding","645","Boilermaking and Welding"
"030713","Metal Casting and Patternmaking","646","Metal Casting and Patternmaking"
"030715","Precision Metalworking","648","Precision Metal Working"
"030717","Plant and Machine Operations","681","Textile Engineering Science"
,,"991","Plant and Machine Operation"
"030799","Mechanical and Industrial Engineering and Technology, n.e.c.","649699","Mechanical Engineering, n.e.c.Other engineering, n.e.c."
"030901","Construction Engineering","621","Civil Engineering"
"030903","Structural Engineering","621","Civil Engineering"
"030905","Building Services Engineering","729","Building Construction, n.e.c."
"030907","Water and Sanitary Engineering","621","Civil Engineering"
,,"726","Plumbing"
"030909","Transport Engineering","621","Civil Engineering"
"030911","Geotechnical Engineering","621","Civil Engineering"
"030913","Ocean Engineering","621","Civil Engineering"
,,"695","Other Engineering Science"
"030999","Civil Engineering, n.e.c.","621","Civil Engineering"
"031101","Surveying","611","Surveying"
"031103","Mapping Science","612","Cartography"
"031199","Geomatic Engineering, n.e.c.","611","Surveying"
,,"612","Cartography"
"031301","Electrical Engineering","631","Electrical and Electronic Engineering Science"
"031303","Electronic Engineering","631","Electrical and Electronic Engineering Science"
"031305","Computer Engineering","541","Computer Science"
,,"631","Electrical and Electronic Engineering Science"
"031307","Communications Technologies","631","Electrical and Electronic Engineering Science"
"031309","Communications Equipment Installation and Maintenance","637","Communications Equipment Installation andMaintenance"
"031311","Powerline Installation and Maintenance","632","Powerline Installation and Maintenance"
"031313","Electrical Fitting, Electrical Mechanics","633","Electrical Fitting"
,,"636","Electrical Mechanics"
"031315","Refrigeration and Air Conditioning Mechanics","635","Refrigeration and Air Conditioning Mechanics"
"031317","Electronic Equipment Servicing","638","Electronic Equipment Servicing"
"031399","Electrical and Electronic Engineering and Technology, n.e.c.","639","Electrical and Electronic Engineering, n.e.c."
"031501","Aerospace Engineering","692","Aeronautical Engineering Science"
"031503","Aircraft Maintenance Engineering","647","Aircraft Maintenance Engineering"
"031505","Aircraft Operation","932","Aircraft Operation"
"031507","Air Traffic Control","933","Air Traffic Control"
"031599","Aerospace Engineering and Technology, n.e.c.","692","Aeronautical Engineering Science"
"031701","Maritime Engineering","694","Marine Engineering Science"
"031703","Marine Construction","696","Marine Construction"
"031705","Marine Craft Operation","931","Ship Operation"
"031799","Maritime Engineering and Technology, n.e.c.","695","Other Engineering Science"
"039901","Environmental Engineering","695","Other Engineering Science"
"039903","Biomedical Engineering","695","Other Engineering Science"
"039905","Fire Technology","992","Fire Technology"
"039907","Rail Operations","939","Transport, n.e.c."
"039909","Cleaning","689","Textiles, Clothing and Footwear, n.e.c."
,,"999","Other Miscellaneous Fields, n.e.c."
"039999","Engineering and Related Technologies, n.e.c.","695","Other Engineering Science"
,,"699","Other Engineering, n.e.c."
"04","ARCHITECTURE AND BUILDING",,
"040101","Architecture","711","Architecture"
"040103","Urban Design and Regional Planning","499","Other Society and Culture, n.e.c."
"040105","Landscape Architecture","719","Building Design, n.e.c."
"040107","Interior and Environmental Design","712","Interior Design"
,,"719","Building Design, n.e.c."
"040199","Architecture and Urban Environment, n.e.c.","499","Other Society and Culture, n.e.c."
"040199","Architecture and Urban Environment, n.e.c.","719","Building Design, n.e.c."
"040301","Building Science and Technology","721","Building Technology"
"040303","Building Construction Management","721","Building Technology"
"040305","Building Surveying","729","Building Construction, n.e.c."
"040307","Building Construction Economics","793","Quantity Surveying"
"040309","Bricklaying and Stonemasonry","723","Bricklaying"
,,"729","Building Construction, n.e.c."
"040311","Carpentry and Joinery","722","Carpentry and Joinery"
"040313","Ceiling, Wall and Floor Fixing","728","Floor and Wall Tiling"
"040315","Roof Fixing","727","Roof Fixing"
"040317","Plastering","725","Plastering"
"040319","Furnishing Installation","799","Other Architecture and Building, n.e.c."
"040321","Floor Coverings","791","Floor Covering"
"040323","Glazing","792","Glass Working"
"040325","Painting, Decorating and Sign Writing","724","Painting, Decorating and Signwriting"
"040327","Plumbing","726","Plumbing"
"040329","Scaffolding and Rigging","729","Building Construction, n.e.c."
,,"799","Other Architecture and Building, n.e.c."
"040399","Building, n.e.c.","799","Other Architecture and Building, n.e.c."
"05","AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",,
"050101","Agricultural Science","811","Agricultural Science"
"050103","Wool Science","812","Wool Science"
"050105","Animal Husbandry","813","Animal Husbandry"
"050199","Agriculture, n.e.c.","819","Agriculture, n.e.c."
"050301","Horticulture","821","Horticulture"
"050303","Viticulture","821","Horticulture"
"050501","Forestry Studies","892","Forestry"
"050701","Aquaculture","891","Fisheries"
"050799","Fisheries Studies, n.e.c.","891","Fisheries"
"050901","Land, Parks and Wildlife Management","512","Environmental Science"
"050999","Environmental Studies, n.e.c.","512","Environmental Science"
"059901","Pest and Weed Control","819","Agriculture, n.e.c."
"059999","Agriculture, Environmental and Related Studies, n.e.c.","819","Agriculture, n.e.c."
"06","HEALTH",,
"060101","General Medicine","211","General Medicine"
"060103","Surgery","212","Surgery"
,,"219","Medicine, n.e.c."
"060105","Psychiatry","213","Psychiatry"
"060107","Obstetrics and Gynaecology","214","Obstetrics and Gynaecology"
"060109","Paediatrics","218","Internal Medicine"
"060111","Anaesthesiology","215","Anaesthesiology"
"060113","Pathology","216","Pathology"
"060115","Radiology","217","Radiology"
"060117","Internal Medicine","218","Internal Medicine"
"060119","General Practice","211","General Medicine"
"060199","Medical Studies, n.e.c.","218","Internal Medicine"
,,"219","Medicine, n.e.c."
"060301","General Nursing","221","Basic Nursing"
"060303","Midwifery","222","Midwifery"
"060305","Mental Health Nursing","224","Psychiatric Nursing"
"060307","Community Nursing","225","Community Nursing"
"060309","Critical Care Nursing","229","Nursing, n.e.c."
"060311","Aged Care Nursing","229","Nursing, n.e.c."
"060313","Palliative Care Nursing","229","Nursing, n.e.c."
"060315","Mothercraft Nursing and Family and Child Health Nursing","223","Mothercraft Nursing"
,,"229","Nursing, n.e.c."
"060399","Nursing, n.e.c.","229","Nursing, n.e.c."
"060501","Pharmacy","231","Pharmacy"
"060701","Dentistry","241","Dental Science"
"060703","Dental Assisting","242","Dental Assisting"
"060705","Dental Technology","243","Dental Technology"
"060799","Dental Studies, n.e.c.","241","Dental Science"
,,"242","Dental Assisting"
"060901","Optometry","235","Optometry"
"060903","Optical Technology","235","Optometry"
"060999","Optical Science, n.e.c.","235","Optometry"
"061101","Veterinary Science","251","Veterinary Science"
"061103","Veterinary Assisting","252","Veterinary Assisting"
"061199","Veterinary Studies, n.e.c.","251","Veterinary Science"
"061301","Occupational Health and Safety","292","Occupational Health and Safety"
"061303","Environmental Health","299","Other Health, n.e.c."
"061305","Indigenous Health","299","Other Health, n.e.c."
"061307","Health Promotion","299","Other Health, n.e.c."
"061309","Community Health","299","Other Health, n.e.c."
"061311","Epidemiology","299","Other Health, n.e.c."
"061399","Public Health, n.e.c.","299","Other Health, n.e.c."
"061501","Radiography","234","Radiography"
"061701","Physiotherapy","232","Physiotherapy"
"061703","Occupational Therapy","233","Occupational Therapy"
"061705","Chiropractic and Osteopathy","236","Chiropractic"
,,"239","Health Sciences, n.e.c."
"061707","Speech Pathology","237","Speech Pathology"
"061709","Audiology","239","Health Sciences, n.e.c."
"061711","Massage Therapy","239","Health Sciences, n.e.c."
"061713","Podiatry","239","Health Sciences, n.e.c."
"061799","Rehabilitation Therapies, n.e.c.","239","Health Sciences, n.e.c."
"061901","Naturopathy","239","Health Sciences, n.e.c."
"061903","Acupuncture","239","Health Sciences, n.e.c."
"061905","Traditional Chinese Medicine","239","Health Sciences, n.e.c."
"061999","Complementary Therapies, n.e.c.","239","Health Sciences, n.e.c."
"069901","Nutrition and Dietetics","238","Nutrition and Dietetics"
"069903","Human Movement","239","Health Sciences, n.e.c."
"069905","Paramedical Studies","291","Ambulance Service"
"069907","First Aid","299","Other Health, n.e.c."
"069999","Health, n.e.c.","299","Other Health, n.e.c."
"07","EDUCATION",,
"070101","Teacher Education: Early Childhood","311","Early Childhood Teaching"
"070103","Teacher Education: Primary","312","Primary Teaching"
"070105","Teacher Education: Secondary","313","Secondary Teaching"
"070107","Teacher-Librarianship","314","Teacher-Librarianship"
"070109","Teacher Education: Vocational Education and Training","321","Technical Teaching"
"070111","Teacher Education: Higher Education","329","Post-School Teacher Training, n.e.c."
"070113","Teacher Education: Special Education","392","Special Education"
"070115","English as a Second Language Teaching","391","Teaching English as a Second Language"
"070117","Nursing Education Teacher Training","322","Nursing Education"
"070199","Teacher Education, n.e.c.","329","Post-School Teacher Training, n.e.c."
"070301","Curriculum Studies","399","Other Education, n.e.c."
"070303","Education Studies","399","Other Education, n.e.c."
"079999","Education, n.e.c.","399","Other Education, n.e.c."
"08","MANAGEMENT AND COMMERCE",,
"080101","Accounting","141","Accounting"
"080301","Business Management","111","Business Management"
"080303","Human Resource Management","113","Personnel Management"
"080305","Personal Management Training","0","No correspondence"
"080307","Organisation Management","119","Management, n.e.c."
"080309","Industrial Relations","499","Other Society and Culture, n.e.c."
"080311","International Business","119","Management, n.e.c."
,,"139","Sales and Marketing, n.e.c."
"080313","Public and Health Care Administration","112","Public and Institution Management"
"080315","Project Management","119","Management, n.e.c."
"080317","Quality Management","699","Other Engineering, n.e.c."
,,"999","Other Miscellaneous Fields, n.e.c."
"080319","Hospitality Management","114","Hospitality Management"
,,"924","Hospitality Services"
"080321","Farm Management and Agribusiness","119","Management, n.e.c."
,,"811","Agricultural Science"
"080323","Tourism Management","119","Management, n.e.c."
"080399","Business and Management, n.e.c.","119","Management, n.e.c."
"080501","Sales","131","Wholesale and Retail Sales"
"080503","Real Estate","133","Real Estate"
"080505","Marketing","132","Marketing"
"080507","Advertising","139","Sales and Marketing, n.e.c."
"080509","Public Relations","492","Communication"
"080599","Sales and Marketing, n.e.c.","139","Sales and Marketing, n.e.c."
"080701","Tourism","134","Tourism"
"080901","Secretarial and Clerical Studies","121","Office Management"
,,"122","Keyboarding and Shorthand"
,,"129","Management Support Services, n.e.c."
"080903","Keyboard Skills","122","Keyboarding and Shorthand"
"080905","Practical Computing Skills","121","Office Management"
,,"122","Keyboarding and Shorthand"
,,"129","Management Support Services, n.e.c."
"080999","Office Studies, n.e.c.","129","Management Support Services, n.e.c."
"081101","Banking and Finance","142","Banking and Finance"
"081103","Insurance and Actuarial Studies","143","Insurance"
,,"532","Statistics"
"081105","Investment and Securities","142","Banking and Finance"
,,"149","Financial Services, n.e.c."
"081199","Banking, Finance and Related Fields, n.e.c.","149","Financial Services, n.e.c."
"089901","Purchasing, Warehousing and Distribution","119","Management, n.e.c."
,,"999","Other Miscellaneous Fields, n.e.c."
"089903","Valuation","133","Real Estate"
,,"139","Sales and Marketing, n.e.c."
"089999","Management and Commerce, n.e.c.","119","Management, n.e.c."
"09","SOCIETY AND CULTURE",,
"090101","Political Science","413","Politics"
"090103","Policy Studies","112","Public and Institution Management"
,,"499","Other Society and Culture, n.e.c."
"090301","Sociology","412","Sociology and Anthropology"
"090303","Anthropology","412","Sociology and Anthropology"
,,"449","Language and Area Studies, n.e.c."
"090305","History","414","History"
,,"449","Language and Area Studies, n.e.c."
"090307","Archaeology","412","Sociology and Anthropology"
,,"414","History"
"090309","Human Geography","491","Geography"
,,"499","Other Society and Culture, n.e.c."
"090311","Indigenous Studies","449","Language and Area Studies, n.e.c."
"090313","Gender Specific Studies","499","Other Society and Culture, n.e.c."
"090399","Studies in Human Society, n.e.c.","449","Language and Area Studies, n.e.c."
,,"499","Other Society and Culture, n.e.c."
"090501","Social Work","421","Social Work"
"090503","Childrenâ€™s Services","422","Child Care"
"090505","Youth Work","429","Welfare, n.e.c."
"090507","Care for the Aged","429","Welfare, n.e.c."
"090509","Care for the Disabled","429","Welfare, n.e.c."
"090511","Residential Client Care","429","Welfare, n.e.c."
"090513","Counselling","429","Welfare, n.e.c."
"090515","Welfare Studies","429","Welfare, n.e.c."
"090599","Human Welfare Studies and Services, n.e.c.","429","Welfare, n.e.c."
"090701","Psychology","411","Psychology"
"090799","Behavioural Science, n.e.c.","411","Psychology"
"090901","Business and Commercial Law","471","Law"
"090903","Constitutional Law","471","Law"
"090905","Criminal Law","471","Law"
"090907","Family Law","471","Law"
"090909","International Law","471","Law"
"090911","Taxation Law","471","Law"
"090913","Legal Practice","471","Law"
"090999","Law, n.e.c.","471","Law"
"091101","Justice Administration","112","Public and Institution Management"
,,"471","Law"
,,"494","Policing Studies"
"091103","Legal Studies","471","Law"
"091105","Police Studies","494","Policing Studies"
"091199","Justice and Law Enforcement, n.e.c.","471","Law"
,,"494","Policing Studies"
,,"499","Other Society and Culture, n.e.c."
"091301","Librarianship and Information Management","431","Librarianship"
"091303","Curatorial Studies","499","Other Society and Culture, n.e.c."
,,"599","Other Natural and Physical Sciences, n.e.c."
"091501","English Language","442","Languages"
"091503","Northern European Languages","442","Languages"
"091505","Southern European Languages","442","Languages"
"091507","Eastern European Languages","442","Languages"
"091509","Southwest Asian and North African Languages","442","Languages"
"091511","Southern Asian Languages","442","Languages"
"091513","Southeast Asian Languages","442","Languages"
"091515","Eastern Asian Languages","442","Languages"
"091517","Australian Indigenous Languages","442","Languages"
"091519","Translating and Interpreting","442","Languages"
"091521","Linguistics","442","Languages"
"091523","Literature","441","Literature"
"091599","Language and Literature, n.e.c.","442","Languages"
,,"449","Language and Area Studies, n.e.c."
"091701","Philosophy","452","Philosophy"
"091703","Religious Studies","451","Religious Studies"
"091901","Economics","461","Economics"
"091903","Econometrics","461","Economics"
"092101","Sport and Recreation Activities","239","Health Sciences, n.e.c."
,,"493","Recreation and Leisure"
,,"999","Other Miscellaneous Fields, n.e.c."
"092103","Sports Coaching, Officiating and Instruction","239","Health Sciences, n.e.c."
,,"493","Recreation and Leisure"
"092199","Sport and Recreation, n.e.c.","493","Recreation and Leisure"
"099901","Family and Consumer Studies","499","Other Society and Culture, n.e.c."
"099903","Criminology","499","Other Society and Culture, n.e.c."
"099905","Security Services","999","Other Miscellaneous Fields, n.e.c."
"099999","Society and Culture, n.e.c.","499","Other Society and Culture, n.e.c."
"10","CREATIVE ARTS",,
"100101","Music","481","Music"
"100103","Drama and Theatre Studies","486","Drama and Dance"
,,"489","Visual and Performing Arts, n.e.c."
"100105","Dance","486","Drama and Dance"
"100199","Performing Arts, n.e.c.","489","Visual and Performing Arts, n.e.c."
"100301","Fine Arts","482","Art and Craft"
"100303","Photography","483","Photography"
"100305","Crafts","482","Art and Craft"
,,"489","Visual and Performing Arts, n.e.c."
,,"792","Glass Working"
"100307","Jewellery Making","489","Visual and Performing Arts, n.e.c."
"100309","Floristry","489","Visual and Performing Arts, n.e.c."
"100399","Visual Arts and Crafts, n.e.c.","489","Visual and Performing Arts, n.e.c."
"100501","Graphic Arts and Design Studies","484","Graphic Design"
,,"699","Other Engineering, n.e.c."
"100503","Textile Design","489","Visual and Performing Arts, n.e.c."
"100505","Fashion Design","485","Fashion Design"
"100599","Graphic and Design Studies, n.e.c.","489","Visual and Performing Arts, n.e.c."
,,"699","Other Engineering, n.e.c."
"100701","Audio Visual Studies","492","Communication"
"100703","Journalism","492","Communication"
"100705","Written Communication","492","Communication"
"100707","Verbal Communication","492","Communication"
"100799","Communication and Media Studies, n.e.c.","492","Communication"
"109999","Creative Arts, n.e.c.","489","Visual and Performing Arts, n.e.c."
"11","FOOD, HOSPITALITY AND PERSONAL SERVICES",,
"110101","Hospitality","114","Hospitality Management"
,,"924","Hospitality Services"
"110103","Food and Beverage Service","924","Hospitality Services"
,,"925","Waiting and Bar Service"
"110105","Butchery","921","Meat Processing"
"110107","Baking and Pastrymaking","922","Baking and Pastrycooking"
"110109","Cookery","923","Cooking"
"110111","Food Hygiene","591","Food Science"
"110199","Food and Hospitality, n.e.c.","929","Food and Hospitality Services, n.e.c."
"110301","Beauty Therapy","912","Beauty Therapy"
"110303","Hairdressing","911","Hairdressing"
"110399","Personal Services, n.e.c.","999","Other Miscellaneous Fields, n.e.c."
"12","MIXED FIELD PROGRAMMES",,
"120101","General Primary and Secondary Education Programmes","0","No correspondence"
"120103","Literacy and Numeracy Programmes","0","No correspondence"
"120105","Learning Skills Programmes","0","No correspondence"
"120199","General Education Programmes, n.e.c.","0","No correspondence"
"120301","Social and Interpersonal Skills Programmes","0","No correspondence"
"120303","Survival Skills Programmes","0","No correspondence"
"120305","Parental Education Programmes","0","No correspondence"
"120399","Social Skills Programmes, n.e.c.","0","No correspondence"
"120501","Career Development Programmes","0","No correspondence"
"120503","Job Search Skills Programmes","0","No correspondence"
"120505","Work Practices Programmes","0","No correspondence"
"120599","Employment Skills Programmes, n.e.c.","0","No correspondence"
"129999","Mixed Field Programmes, n.e.c.","0","No correspondence"

"Source: Australian Bureau of Statistics, Appendix 4, ASCED - ABSCQ Field Correspondence Table 2001"