"ASCED Field of Education",,"FOSCHEC",
"01","NATURAL AND PHYSICAL SCIENCES",,
"010101","Mathematics","090402","Applied Mathematics"
,,"090403","Pure Mathematics"
,,"090499","Mathematics - Other"
"010103","Statistics","090404","Statistics and Operations Research"
"010199","Mathematical Sciences, n.e.c.","090499","Mathematics - Other"
"010301","Physics","090505","Physics"
"010303","Astronomy","090599","Physical Sciences - Other"
"010501","Organic Chemistry","090502","Chemistry"
"010503","Inorganic Chemistry","090502","Chemistry"
"010599","Chemical Sciences, n.e.c.","090502","Chemistry"
"010701","Atmospheric Sciences","090599","Physical Sciences - Other"
"010703","Geology","090503","Geology"
"010705","Geophysics","090503","Geology"
"010707","Geochemistry","090503","Geology"
"010709","Soil Science","010204","Soil Sciences"
,,"090503","Geology"
"010711","Hydrology","090503","Geology"
"010713","Oceanography","090399","Life, General Sciences - Other"
"010799","Earth Sciences, n.e.c.","030208","Geography"
,,"090503","Geology"
"010901","Biochemistry and Cell Biology","090303","Biochemistry"
,,"090304","Biology"
"010903","Botany","090302","Anatomy"
,,"090305","Botany"
,,"090313","Physiology"
"010905","Ecology and Evolution","090304","Biology"
,,"090306","Environmental Science"
"010907","Marine Science","090304","Biology"
,,"090399","Life, General Sciences - Other"
"010909","Genetics","090304","Biology"
"010911","Microbiology","090311","Microbiology"
"010913","Human Biology","090302","Anatomy"
,,"090304","Biology"
,,"090313","Physiology"
"010915","Zoology","090302","Anatomy"
,,"090313","Physiology"
,,"090314","Zoology"
"010999","Biological Sciences, n.e.c.","030208","Geography"
,,"090304","Biology"
,,"090399","Life, General Sciences - Other"
"019901","Medical Science","070405","Medical Technology"
,,"070501","Medical Science"
"019903","Forensic Science","090399","Life, General Sciences - Other"
"019905","Food Science and Biotechnology","010206","Viticulture and Oenology"
,,"090307","Food Science and Technology"
"019907","Pharmacology","090312","Pharmacology"
"019909","Laboratory Technology","070405","Medical Technology"
,,"090310","Laboratory Techniques (not Medical Technology)"
"019999","Natural and Physical Sciences, n.e.c.","090399","Life, General Sciences - Other"
,,"090599","Physical Sciences - Other"
"02","INFORMATION TECHNOLOGY",,
"020101","Formal Language Theory","090202","Computer Science"
"020103","Programming","090203","Information Systems"
"020105","Computational Theory","090202","Computer Science"
"020107","Compiler Construction","090202","Computer Science"
"020109","Algorithms","090202","Computer Science"
"020111","Data Structures","090202","Computer Science"
"020113","Networks and Communications","090202","Computer Science"
"020115","Computer Graphics","090203","Information Systems"
"020117","Operating Systems","090202","Computer Science"
"020119","Artificial Intelligence","090202","Computer Science"
"020199","Computer Science, n.e.c.","090299","Computer Science, Information Systems-Other"
"020301","Conceptual Modelling","090202","Computer Science"
"020303","Database Management","090203","Information Systems"
"020305","Systems Analysis and Design","090203","Information Systems"
"020307","Decision Support Systems","090203","Information Systems"
"020399","Information Systems, n.e.c.","090299","Computer Science, Information Systems-Other"
"029901","Security Science","090202","Computer Science"
"029999","Information Technology, n.e.c.","090299","Computer Science, Information Systems -Other"
"03","ENGINEERING AND RELATED TECHNOLOGIES",,
"030101","Manufacturing Engineering","060207","Industrial Engineering"
"030103","Printing","060299","Engineering - Other"
"030105","Textile Making","060299","Engineering - Other"
"030107","Garment Making","060299","Engineering - Other"
"030109","Footwear Making","0","No correspondence"
"030111","Wood Machining and Turning","060299","Engineering - Other"
"030113","Cabinet Making","060299","Engineering - Other"
"030115","Furniture Upholstery and Renovation","060299","Engineering - Other"
"030117","Furniture Polishing","060299","Engineering - Other"
"030199","Manufacturing Engineering and Technology,n.e.c.","060299","Engineering - Other"
"030301","Chemical Engineering","060203","Chemical Engineering"
"030303","Mining Engineering","060211","Mining and Minerals Engineering"
"030305","Materials Engineering","060210","Metallurgy"
"030307","Food Processing Technology","090307","Food Science and Technology"
"030399","Process and Resources Engineering, n.e.c.","060299","Engineering - Other"
"030501","Automotive Engineering","060209","Mechanical Engineering"
"030503","Vehicle Mechanics","060209","Mechanical Engineering"
"030505","Automotive Electrics and Electronics","060209","Mechanical Engineering"
"030507","Automotive Vehicle Refinishing","060209","Mechanical Engineering"
"030509","Automotive Body Construction","060209","Mechanical Engineering"
"030511","Panel Beating","060209","Mechanical Engineering"
"030513","Upholstery and Vehicle Trimming","060209","Mechanical Engineering"
"030515","Automotive Vehicle Operations","0","No correspondence"
"030599","Automotive Engineering and Technology, n.e.c.","060209","Mechanical Engineering"
"030701","Mechanical Engineering","060209","Mechanical Engineering"
"030703","Industrial Engineering","060207","Industrial Engineering"
"030705","Toolmaking","060299","Engineering - Other"
"030707","Metal Fitting, Turning and Machining","060299","Engineering - Other"
"030709","Sheetmetal Working","060299","Engineering - Other"
"030711","Boilermaking and Welding","060299","Engineering - Other"
"030713","Metal Casting and Patternmaking","060299","Engineering - Other"
"030715","Precision Metalworking","060299","Engineering - Other"
"030717","Plant and Machine Operations","060204","Civil, Structural Engineering"
,,"060205","Electrical Engineering"
,,"060299","Engineering - Other"
"030799","Mechanical and Industrial Engineering andTechnology, n.e.c.","060209","Mechanical Engineering"
,,"060299","Engineering - Other"
"030901","Construction Engineering","060204","Civil, Structural Engineering"
"030903","Structural Engineering","060204","Civil, Structural Engineering"
"030905","Building Services Engineering","060204","Civil, Structural Engineering"
"030907","Water and Sanitary Engineering","060204","Civil, Structural Engineering"
"030909","Transport Engineering","060204","Civil, Structural Engineering"
"030911","Geotechnical Engineering","060204","Civil, Structural Engineering"
"030913","Ocean Engineering","060204","Civil, Structural Engineering"
"030999","Civil Engineering, n.e.c.","060204","Civil, Structural Engineering"
"031101","Surveying","060303","Surveying"
"031103","Mapping Science","060302","Cartography"
"31199","Geomatic Engineering, n.e.c.","060399","Surveying - Other"
"031301","Electrical Engineering","060205","Electrical Engineering"
"031303","Electronic Engineering","060206","Electronic Engineering, Computer Engineering"
"031305","Computer Engineering","060206","Electronic Engineering, Computer Engineering"
"031307","Communications Technologies","060206","Electronic Engineering, Computer Engineering"
"031309","Communications Equipment Installation andMaintenance","060206","Electronic Engineering, Computer Engineering"
"031311","Powerline Installation and Maintenance","060205","Electrical Engineering"
"031313","Electrical Fitting, Electrical Mechanics","060205","Electrical Engineering"
"031315","Refrigeration and Air Conditioning Mechanics","060209","Mechanical Engineering"
"031317","Electronic Equipment Servicing","060206","Electronic Engineering, Computer Engineering"
"031399","Electrical and Electronic Engineering andTechnology, n.e.c.","060299","Engineering - Other"
"031501","Aerospace Engineering","060202","Aeronautical Engineering"
"031503","Aircraft Maintenance Engineering","060202","Aeronautical Engineering"
"031505","Aircraft Operation","090501","Physical Sciences - General"
"031507","Air Traffic Control","090501","Physical Sciences - General"
"031599","Aerospace Engineering and Technology, n.e.c.","060202","Aeronautical Engineering"
"031701","Maritime Engineering","060208","Marine Engineering"
"031703","Marine Construction","060208","Marine Engineering"
"031705","Marine Craft Operation","060208","Marine Engineering"
,,"090504","Nautical Science"
"031799","Maritime Engineering and Technology, n.e.c.","060208","Marine Engineering"
"039901","Environmental Engineering","060299","Engineering - Other"
"039903","Biomedical Engineering","060299","Engineering - Other"
"039905","Fire Technology","060299","Engineering - Other"
"039907","Rail Operations","0","No correspondence"
"039909","Cleaning","0","No correspondence"
"039999","Engineering and Related Technologies, n.e.c.","060299","Engineering - Other"
"04","ARCHITECTURE AND BUILDING",,
"040101","Architecture","020201","Architecture - General"
"040103","Urban Design and Regional Planning","020401","Urban and Regional Planning"
"040105","Landscape Architecture","020203","Landscape Architecture"
"040107","Interior and Environmental Design","020202","Environmental and Industrial Design"
,,"020303","Interior Design"
"040199","Architecture and Urban Environment, n.e.c.","020299","Architecture - Other"
"040301","Building Science and Technology","020302","Building Construction Technology"
"040303","Building Construction Management","020302","Building Construction Technology"
"040305","Building Surveying","020302","Building Construction Technology"
"040307","Building Construction Economics","020304","Quantity Surveying"
"040309","Bricklaying and Stonemasonry","020399","Building - Other"
"040311","Carpentry and Joinery","020399","Building - Other"
"040313","Ceiling, Wall and Floor Fixing","020399","Building - Other"
"040315","Roof Fixing","020399","Building - Other"
"040317","Plastering","020399","Building - Other"
"040319","Furnishing Installation","020399","Building - Other"
"040321","Floor Coverings","020399","Building - Other"
"040323","Glazing","020399","Building - Other"
"040325","Painting, Decorating and Sign Writing","020399","Building - Other"
"040327","Plumbing","020399","Building - Other"
"040329","Scaffolding and Rigging","020399","Building - Other"
"040399","Building, n.e.c.","020399","Building - Other"
"05","AGRICULTURE, ENVIRONMENTAL AND RELATED STUDIES",,
"050101","Agricultural Science","010203","Plant Sciences"
"050103","Wool Science","010301","Animal Husbandry"
"050105","Animal Husbandry","010301","Animal Husbandry"
"050199","Agriculture, n.e.c.","010299","Agriculture - Other"
"050301","Horticulture","010205","Horticulture"
"050303","Viticulture","010206","Viticulture and Oenology"
"050501","Forestry Studies","010202","Forestry"
"050701","Aquaculture","010299","Agriculture - Other"
"050799","Fisheries Studies, n.e.c.","010299","Agriculture - Other"
"050901","Land, Parks and Wildlife Management","010403","Parks and Wildlife Management"
"050999","Environmental Studies, n.e.c.","090306","Environmental Science"
"059901","Pest and Weed Control","010203","Plant Sciences"
"059999","Agriculture, Environmental and Related Studies,n.e.c.","010299","Agriculture - Other"
"06","HEALTH",,
"060101","General Medicine","070502","Medicine"
"060103","Surgery","070502","Medicine"
"060105","Psychiatry","070502","Medicine"
"060107","Obstetrics and Gynaecology","070502","Medicine"
"060109","Paediatrics","070502","Medicine"
"060111","Anaesthesiology","070502","Medicine"
"060113","Pathology","070502","Medicine"
"060115","Radiology","070502","Medicine"
"060117","Internal Medicine","070502","Medicine"
"060119","General Practice","070502","Medicine"
"060199","Medical Studies, n.e.c.","070502","Medicine"
"060301","General Nursing","070402","Nursing - Basic"
,,"070403","Nursing - Post-basic"
"060303","Midwifery","070402","Nursing - Basic"
,,"070403","Nursing - Post-basic"
"060305","Mental Health Nursing","070402","Nursing - Basic"
,,"070403","Nursing - Post-basic"
"060307","Community Nursing","070402","Nursing - Basic"
,,"070403","Nursing - Post-basic"
"060309","Critical Care Nursing","070403","Nursing - Post-basic"
"060311","Aged Care Nursing","070402","Nursing - Basic"
,,"070403","Nursing - Post-basic"
"060313","Palliative Care Nursing","070403","Nursing - Post-basic"
"060315","Mothercraft Nursing and Family and Child HealthNursing","070402","Nursing - Basic"
,,"070403","Nursing - Post-basic"
"060399","Nursing, n.e.c.","070403","Nursing - Post-basic"
"060501","Pharmacy","070408","Pharmacy"
"060701","Dentistry","070201","Dentistry"
"060703","Dental Assisting","070201","Dentistry"
"060705","Dental Technology","070201","Dentistry"
"060799","Dental Studies, n.e.c.","070201","Dentistry"
,,"070202","Dental Therapy"
"060901","Optometry","070407","Optometry"
"060903","Optical Technology","070407","Optometry"
"060999","Optical Science, n.e.c.","070407","Optometry"
"061101","Veterinary Science","100101","Veterinary Science"
"061103","Veterinary Assisting","100101","Veterinary Science"
"061199","Veterinary Studies, n.e.c.","100101","Veterinary Science"
"061301","Occupational Health and Safety","070399","Health Support Activities - Other"
"061303","Environmental Health","070304","Health Surveying and Environmental Health"
"061305","Indigenous Health","070399","Health Support Activities - Other"
"061307","Health Promotion","070303","Health Counselling"
"061309","Community Health","070303","Health Counselling"
"061311","Epidemiology","070304","Health Surveying and Environmental Health"
"061399","Public Health, n.e.c.","070304","Health Surveying and Environmental Health"
"061501","Radiography","070404","Medical Radiography"
"061701","Physiotherapy","070603","Physiotherapy"
"061703","Occupational Therapy","070602","Occupational Therapy"
"061705","Chiropractic and Osteopathy","070699","Rehabilitation Services - Other"
"061707","Speech Pathology","070604","Speech Pathology/Audiology"
"061709","Audiology","070604","Speech Pathology/Audiology"
"061711","Massage Therapy","070699","Rehabilitation Services - Other"
"061713","Podiatry","070409","Podiatry"
"061799","Rehabilitation Therapies, n.e.c.","070699","Rehabilitation Services - Other"
"061901","Naturopathy","070502","Medicine"
"061903","Acupuncture","070502","Medicine"
"061905","Traditional Chinese Medicine","070502","Medicine"
"061999","Complementary Therapies, n.e.c.","070502","Medicine"
"069901","Nutrition and Dietetics","070406","Nutrition and Dietetics"
"069903","Human Movement","090309","Human Movement Science/Sports Science"
"069905","Paramedical Studies","070499","Health Sciences and Technologies - Other"
"069907","First Aid","070499","Health Sciences and Technologies - Other"
"069999","Health, n.e.c.","070499","Health Sciences and Technologies - Other"
"07","EDUCATION",,
"070101","Teacher Education: Early Childhood","050202","Initial Early Childhood Teacher Education"
,,"050302","Post-initial Early Childhood Teacher Education"
"070103","Teacher Education: Primary","050203","Initial Primary Teacher Education"
,,"050303","Post-initial Primary Teacher Education"
"070105","Teacher Education: Secondary","050204","Initial Secondary Teacher Education"
,,"050304","Post-initial Secondary Teacher Education"
"070107","Teacher-Librarianship","050499","Education Other Than Teacher Education - Other"
"070109","Teacher Education: Vocational Education and Training","050205","Initial TAFE Teacher Education"
,,"050305","Post-initial TAFE Teacher Education"
"070111","Teacher Education: Higher Education","050405","Tertiary Education"
"070113","Teacher Education: Special Education","050206","Initial Special Teacher Education"
,,"050306","Post-initial Special Teacher Education"
"070115","English as a Second Language Teaching","050499","Education Other Than Teacher Education - Other"
"070117","Nursing Education Teacher Training","050406","Nurse and Health Educators Education"
"070199","Teacher Education, n.e.c.","050299","Initial Teacher Education - Other"
,,"050399","Post-initial Teacher Education - Other"
"070301","Curriculum Studies","050499","Education Other Than Teacher Education - Other"
"070303","Education Studies","050499","Education Other Than Teacher Education - Other"
"079999","Education, n.e.c.","050404","Education Media"
,,"050499","Education Other Than Teacher Education - Other"
"08","MANAGEMENT AND COMMERCE",,
"080101","Accounting","040202","Accounting"
"080301","Business Management","040203","Administration and Management (not Agricultural Management or Rural Management)"
"080303","Human Resource Management","040209","Personnel Management and Development"
"080305","Personal Management Training","040299","Business, Administration - Other"
"080307","Organisation Management","040203","Administration and Management (not Agricultural Managementor Rural Management)"
"080309","Industrial Relations","040206","Industrial Relations"
"080311","International Business","040203","Administration and Management (not Agricultural Management or Rural Management)"
"080313","Public and Health Care Administration","040210","Public Administration"
,,"050402","Educational Administration"
,,"070302","Health Administration"
,,"070399","Health Support Activities - Other"
"080315","Project Management","040201","Business, Administration - General"
"080317","Quality Management","040299","Business, Administration - Other"
"080319","Hospitality Management","040207","Hotel and Hospitality Management"
"080321","Farm Management and Agribusiness","010402","Rural Management"
,,"010499","Agriculture Management - Other"
"080323","Tourism Management","040207","Hotel and Hospitality Management"
"080399","Business and Management, n.e.c.","040299","Business, Administration - Other"
"080501","Sales","040208","Marketing and Distribution"
"080503","Real Estate","040212","Valuation and Real Estate"
"080505","Marketing","040208","Marketing and Distribution"
"080507","Advertising","040208","Marketing and Distribution"
"080509","Public Relations","040299","Business, Administration - Other"
"080599","Sales and Marketing, n.e.c.","040208","Marketing and Distribution"
"080701","Tourism","040207","Hotel and Hospitality Management"
"080901","Secretarial and Clerical Studies","040211","Secretarial Studies"
"080903","Keyboard Skills","040211","Secretarial Studies"
"080905","Practical Computing Skills","040205","Business Data Processing"
"080999","Office Studies, n.e.c.","040211","Secretarial Studies"
"081101","Banking and Finance","040204","Banking and Finance"
"081103","Insurance and Actuarial Studies","040204","Banking and Finance"
"081105","Investment and Securities","040204","Banking and Finance"
"081199","Banking, Finance and Related Fields, n.e.c.","040204","Banking and Finance"
,,"040299","Business, Administration - Other"
"089901","Purchasing, Warehousing and Distribution","040208","Marketing and Distribution"
"089903","Valuation","040212","Valuation and Real Estate"
"089999","Management and Commerce, n.e.c.","040203","Administration and Management (not Agricultural Managementor Rural Management)"
"09","SOCIETY AND CULTURE",,
"090101","Political Science","030214","Political Science and Government"
"090103","Policy Studies","030299","Humanities and Social Sciences - Other"
"090301","Sociology","030219","Sociology"
"090303","Anthropology","030203","Anthropology"
,,"030205","Area and Ethnic Studies"
"090305","History","030209","History"
,,"040303","Economic History"
"090307","Archaeology","030204","Archaeology"
"090309","Human Geography","030205","Area and Ethnic Studies"
,,"030208","Geography"
"090311","Indigenous Studies","030202","Aboriginal Studies"
"090313","Gender Specific Studies","030221","Women’s Studies"
"090399","Studies in Human Society, n.e.c.","030205","Area and Ethnic Studies"
,,"030212","Multicultural Studies"
,,"030299","Humanities and Social Sciences - Other"
"090501","Social Work","030218","Social Work"
"090503","Children’s Services","030299","Humanities and Social Sciences - Other"
"090505","Youth Work","030299","Humanities and Social Sciences - Other"
"090507","Care for the Aged","030299","Humanities and Social Sciences - Other"
"090509","Care for the Disabled","030299","Humanities and Social Sciences - Other"
"090511","Residential Client Care","030299","Humanities and Social Sciences - Other"
"090513","Counselling","030207","Counselling (not Health Counselling or EducationalCounselling)"
,,"050403","Educational Counselling"
,,"070303","Health Counselling"
"090515","Welfare Studies","030220","Welfare Studies"
"090599","Human Welfare Studies and Services, n.e.c.","030220","Welfare Studies"
"090701","Psychology","030215","Psychology"
"090799","Behavioural Science, n.e.c.","030299","Humanities and Social Sciences - Other"
"090901","Business and Commercial Law","080299","Law - Other"
"090903","Constitutional Law","080201","Law - General"
"090905","Criminal Law","080201","Law - General"
"090907","Family Law","080201","Law - General"
"090909","International Law","080299","Law - Other"
"090911","Taxation Law","080299","Law - Other"
"090913","Legal Practice","080203","Legal Practice"
"090999","Law, n.e.c.","080299","Law - Other"
"091101","Justice Administration","080302","Justice Administration"
"091103","Legal Studies","080202","Jurisprudence"
,,"080401","Legal Studies - General"
"091105","Police Studies","080303","Police Studies"
"091199","Justice and Law Enforcement, n.e.c.","080399","Law Enforcement - Other"
"091301","Librarianship and Information Management","030210","Library and Archival Studies"
"091303","Curatorial Studies","030210","Library and Archival Studies"
,,"030402","Conservation of Art and Cultural Material"
"091501","English Language","030303","European Languages"
"091503","Northern European Languages","030303","European Languages"
"091505","Southern European Languages","030303","European Languages"
"091507","Eastern European Languages","030303","European Languages"
"091509","Southwest Asian and North African Languages","030302","Asian Languages"
,,"030399","Language Studies - Other"
"091511","Southern Asian Languages","030302","Asian Languages"
"091513","Southeast Asian Languages","030302","Asian Languages"
"091515","Eastern Asian Languages","030302","Asian Languages"
"091517","Australian Indigenous Languages","030399","Language Studies - Other"
"091519","Translating and Interpreting","030399","Language Studies - Other"
"091521","Linguistics","030304","Linguistics"
"091523","Literature","030211","Literary Studies"
"091599","Language and Literature, n.e.c.","030399","Language Studies - Other"
"091701","Philosophy","030213","Philosophy"
"091703","Religious Studies","030217","Religion and Theology"
"091901","Economics","040301","Economics - General"
,,"040302","Agricultural Economics"
,,"040399","Economics - Other"
"091903","Econometrics","040304","Economic Statistics/Econometrics"
,,"090404","Statistics and Operations Research"
"092101","Sport and Recreation Activities","030216","Recreation Studies"
"092103","Sports Coaching, Officiating and Instruction","030216","Recreation Studies"
"092199","Sport and Recreation, n.e.c.","030216","Recreation Studies"
"099901","Family and Consumer Studies","090308","Home Economics"
"099903","Criminology","030299","Humanities and Social Sciences - Other"
"099905","Security Services","030299","Humanities and Social Sciences - Other"
"099999","Society and Culture, n.e.c.","030299","Humanities and Social Sciences - Other"
"10","CREATIVE ARTS",,
"100101","Music","030409","Music"
"100103","Drama and Theatre Studies","030405","Dramatic Arts"
"100105","Dance","030404","Dance"
"100199","Performing Arts, n.e.c.","030499","Visual and Performing Arts - Other"
"100301","Fine Arts","030407","Fine Arts"
"100303","Photography","030406","Film and Photographic Arts"
"100305","Crafts","030403","Crafts"
"100307","Jewellery Making","030403","Crafts"
"100309","Floristry","0","No correspondence"
"100399","Visual Arts and Crafts, n.e.c.","030499","Visual and Performing Arts - Other"
"100501","Graphic Arts and Design Studies","030408","Graphic Arts and Design"
"100503","Textile Design","030499","Visual and Performing Arts - Other"
"100505","Fashion Design","030499","Visual and Performing Arts - Other"
"100599","Graphic and Design Studies, n.e.c.","030499","Visual and Performing Arts - Other"
"100701","Audio Visual Studies","030206","Communications"
,,"030406","Film and Photographic Arts"
"100703","Journalism","030206","Communications"
"100705","Written Communication","030206","Communications"
"100707","Verbal Communication","030206","Communications"
"100799","Communication and Media Studies, n.e.c.","030206","Communications"
"109999","Creative Arts, n.e.c.","030499","Visual and Performing Arts - Other"
"11","FOOD, HOSPITALITY AND PERSONAL SERVICES",,
"110101","Hospitality","040207","Hotel and Hospitality Management"
"110103","Food and Beverage Service","090307","Food Science and Technology"
"110105","Butchery","090307","Food Science and Technology"
"110107","Baking and Pastrymaking","090307","Food Science and Technology"
"110109","Cookery","090307","Food Science and Technology"
"110111","Food Hygiene","070304","Health Surveying and Environmental Health"
,,"090307","Food Science and Technology"
"110199","Food and Hospitality, n.e.c.","040207","Hotel and Hospitality Management"
,,"090307","Food Science and Technology"
"110301","Beauty Therapy","0","No correspondence"
"110303","Hairdressing","0","No correspondence"
"110399","Personal Services, n.e.c.","0","No correspondence"
"12","MIXED FIELD PROGRAMMES",,
"120101","General Primary and Secondary EducationProgrammes","0","No correspondence"
"120103","Literacy and Numeracy Programmes","0","No correspondence"
"120105","Learning Skills Programmes","0","No correspondence"
"120199","General Education Programmes, n.e.c.","0","No correspondence"
"120301","Social and Interpersonal Skills Programmes","0","No correspondence"
"120303","Survival Skills Programmes","0","No correspondence"
"120305","Parental Education Programmes","0","No correspondence"
"120399","Social Skills Programmes, n.e.c.","0","No correspondence"
"120501","Career Development Programmes","0","No correspondence"
"120503","Job Search Skills Programmes","0","No correspondence"
"120505","Work Practices Programmes","0","No correspondence"
"120599","Employment Skills Programmes, n.e.c.","0","No correspondence"
"129999","Mixed Field Programmes, n.e.c.","0","No correspondence"

"Source: Australian Bureau of Statistics, Appendix 6, ASCED - FOSCHEC Correspondence Table 2001"